id|tags.service|tags.application|tags.component|tags.environment_name
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/apvs-mgmt|HWPV|HWPVMgmt||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/ARM_Deploy_Staging|FixNGo|Management||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/avps-dev|HWPV|HWPV||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/bastion-dev|FixNGo|Management||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/checkmydiary-dev|CSR|CheckMyDiaryAPI||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/cloud-shell-storage-westeurope|FixNGo|Management||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/Default-ActivityLogAlerts|FixNGo|Management||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/DefaultResourceGroup-SUK|FixNGo|Management||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/deliusapi-dev|Misc|NDelius||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/hwpv|HWPV|HWPV||prod
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/hwpv-dev|HWPV|HWPV||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/iis-stage|Misc|HPA||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/keyworker-api-dev|Misc|KeyWorker||devtest
/subscriptions/c27cfedb-f5e9-45e6-9642-0fad1a5c94e7/resourceGroups/keyworker-api-stage|Misc|KeyWorker||devtest
