id|tags.service|tags.application|tags.component|tags.environment_name
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/azure_consumption|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Azure-services-KeyVault|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/AzureBackupRG_uksouth_1|FixNGo|Management||DR
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/AzureBackupRG_ukwest_1|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Backup-Restore|NOMIS|NOMIS||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/BackupReports|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/book-a-secure-move-test|Misc|BookASecureMove||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/bootdiagtest|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/cloud-shell-storage-northeurope|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dbaupload|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Default-ActivityLogAlerts|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/DefaultResourceGroup-SUK|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/DomainControllers|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/DRDomainControllers|FixNGo|Management||DR
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba|NOMIS|NOMIS||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-dba-terraform-state|NOMIS|NOMIS||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-oasys-t2|OASys|OASys||T2
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-sap-bip-t1|NOMIS|NOMIS||T1
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-devtest-syscon|NOMIS|NOMIS||T3
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/dso-terraform-state|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/DsoPackerImages|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/duplicitybackups|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/hmpps-devtest-ukwest-appgw-rg|FixNGo|Transit||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/HMPPS-Misc-Storage|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/hmpps-network-tooling|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/modernisation-sandpit|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Mgmt|FixNGo|Network||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Mgmt-DR|FixNGo|Network||DR
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Routes|FixNGo|Transit||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Test|FixNGo|Network||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Test-asr|FixNGo|Network||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Test-DR|FixNGo|Network||DR
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NOMS-Transit-Live|FixNGo|Network||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-NOMS-Mgmt|FixNGo|Network||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-NOMS-Mgmt-DR|FixNGo|Network||DR
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-NOMS-Test|FixNGo|Network||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-NOMS-Test-DR|FixNGo|Network||DR
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-SD-Prison-NOMIS|NOMIS|NOMIS||syscon
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T1-CAFM|CAFM|CAFM||T1
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T1-CSR|CSR|CSR||T1
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T1-NonCore|NonCore|NonCore||T1
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T1-OASys|OASys|OASys||T1
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T1-Prison-NOMIS|NOMIS|NOMIS||T1
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T2-CSR|CSR|CSR||T2
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T2-OASys|OASys|OASys||T2
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T2-Prison-NOMIS|NOMIS|NOMIS||T2
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T3-CSR|CSR|CSR||T3
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T3-Prison-NOMIS|NOMIS|NOMIS||T3
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/Network-NSG-T3-Prison-NOMIS-DAZ|NOMIS|NOMIS||T3
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/NetworkWatcherRG|FixNGo|Management||devtest
/subscriptions/b1f3cebb-4988-4ff9-9259-f02ad7744fcb/resourceGroups/nomis-bip-T1|NOMIS|MIS||T1
