id|tags.service|tags.application|tags.component|tags.environment_name
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/aws-users-prod|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/cafm-preprod|CAFM|CAFM||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/cafm-prod|CAFM|CAFM||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/checkmydiary-preprod|CSR|CheckMyDiaryAPI||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/checkmydiary-prod|CSR|CheckMyDiaryAPI||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/cloud-shell-storage-westeurope|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/dashboards|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/Default-ActivityLogAlerts|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/DefaultResourceGroup-SUK|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/iis-preprod|Misc|HPA||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/iis-prod|Misc|HPA||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/keyworker-api-preprod|Misc|KeyWorker||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/keyworker-api-prod|Misc|KeyWorker||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/licences-preprod|Misc|Licences||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/licences-prod|Misc|Licences||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/MC_nomisapi-preprod-rg_nomisapi-preprod_ukwest|NOMISAPI|NOMISAPI||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/MC_nomisapi-prod-rg_nomisapi-prod_ukwest|NOMISAPI|NOMISAPI||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/mgmt-app-gw-prod|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/monitoring-prod|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/ndelius-prod|Misc|NDelius||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/NetworkWatcherRG|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/nomis-batchload-preprod|Misc|Batchload||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/nomis-batchload-prod|Misc|Batchload||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/nomisapi-preprod-rg|NOMISAPI|NOMISAPI||preprod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/nomisapi-prod-rg|NOMISAPI|NOMISAPI||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/nomisapi-prod-shared-rg|NOMISAPI|NOMISAPI||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/oasys-poc-rg|OASys|OASys||poc
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/offloc-prod|NonCore|NonCore||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/poc-agw-cafm|CAFM|CAFM||poc
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/pocdomains|OASys|OASys||poc
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/rg-fortigate-backups-dr|FixNGo|Transit||DR
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/rsr-prod|Misc|RSR||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/securitydata|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/tf-dso-infra-nomis-file-shares-prod|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/tf-dso-infra-webops-azure-zones-prod|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/webops-prod|FixNGo|Management||prod
/subscriptions/a5ddf257-3b21-4ba9-a28c-ab30f751b383/resourceGroups/offloc-test|NonCore|NonCore||devtest
